Time [s],Cold-junction [°C],Hot [°C],Cold [°C],Cu [°C],PCB [°C],TJMP2-P [°C],TJMP2-C [°C],dT_Peltier [°C],Ambient [°C],Set Temperature [°C],Current [A],Voltage [V],NTC [°C],DHT22 [°C],Humidity [%]
2025-03-11 14:53:12,25.42,29.20,24.92,28.71,26.82,27.62,27.94,25.69,24.69,5.0,0.00,20.00,31.48,23.97,4.77
2025-03-11 14:53:14,25.42,28.90,25.11,28.63,26.84,27.61,27.94,25.74,24.69,5.0,0.00,20.00,31.47,24.00,4.62
2025-03-11 14:53:16,25.42,28.89,24.42,28.56,26.84,27.60,27.93,25.81,24.70,5.0,4.00,20.00,31.43,23.95,4.45
2025-03-11 14:53:18,25.42,29.46,23.84,28.47,26.85,27.59,27.92,25.81,24.71,5.0,4.00,20.00,31.44,23.94,4.32
2025-03-11 14:53:20,25.42,29.77,23.41,28.39,26.84,27.58,27.90,25.77,24.73,5.0,4.00,20.00,31.48,23.97,4.15
2025-03-11 14:53:22,25.42,30.01,23.01,28.28,26.82,27.54,27.86,25.80,24.71,5.0,4.00,20.00,31.41,23.91,4.00
2025-03-11 14:53:24,25.42,30.24,22.67,28.21,26.84,27.52,27.85,25.93,24.74,5.0,4.00,20.00,31.40,24.00,3.90
2025-03-11 14:53:25,25.42,30.48,22.34,28.13,26.81,27.50,27.81,25.90,24.73,5.0,4.00,20.00,31.49,24.00,3.80
2025-03-11 14:53:27,25.42,30.65,22.00,28.02,26.80,27.45,27.77,25.74,24.73,5.0,4.00,20.00,31.40,24.00,3.70
2025-03-11 14:53:29,25.42,30.84,21.70,27.93,26.77,27.40,27.72,25.81,24.73,5.0,4.00,20.00,31.37,24.00,3.60
2025-03-11 14:53:31,25.42,30.99,21.42,27.85,26.76,27.37,27.69,25.74,24.74,5.0,4.00,20.00,31.41,24.00,3.60
2025-03-11 14:53:33,25.42,31.15,21.13,27.74,26.73,27.32,27.63,25.59,24.72,5.0,4.00,20.00,31.36,24.00,3.60
2025-03-11 14:53:35,25.42,31.30,20.86,27.65,26.72,27.28,27.60,25.61,24.73,5.0,4.00,20.00,31.44,24.00,3.51
2025-03-11 14:53:37,25.42,31.45,20.60,27.55,26.70,27.23,27.55,25.56,24.72,5.0,4.00,20.00,31.36,24.00,3.41
2025-03-11 14:53:39,25.42,31.58,20.36,27.46,26.67,27.18,27.51,25.61,24.72,5.0,4.00,20.00,31.35,24.00,3.40
2025-03-11 14:53:41,25.42,31.69,20.11,27.35,26.64,27.12,27.44,25.36,24.71,5.0,4.00,20.00,31.42,24.00,3.31
2025-03-11 14:53:43,25.42,31.81,19.88,27.24,26.62,27.08,27.40,25.73,24.72,5.0,4.00,20.00,31.36,24.00,3.21
2025-03-11 14:53:44,25.42,31.91,19.66,27.14,26.60,27.03,27.35,25.80,24.75,5.0,4.00,20.00,31.33,24.00,3.12
2025-03-11 14:53:46,25.42,32.00,19.43,27.03,26.57,26.97,27.30,25.72,24.75,5.0,4.00,20.00,31.34,24.00,3.10
2025-03-11 14:53:48,25.43,32.09,19.21,26.92,26.54,26.92,27.24,25.93,24.75,5.0,4.00,20.00,31.33,24.00,3.03
2025-03-11 14:53:50,25.43,32.20,19.00,26.80,26.51,26.85,27.18,25.85,24.77,5.0,4.00,20.00,31.34,24.00,3.00
2025-03-11 14:53:52,25.43,32.28,18.79,26.68,26.47,26.78,27.11,25.79,24.76,5.0,4.00,20.00,31.31,24.00,3.00
2025-03-11 14:53:54,25.43,32.36,18.58,26.55,26.43,26.71,27.04,25.84,24.76,5.0,4.00,20.00,31.29,24.00,2.95
2025-03-11 14:53:56,25.43,32.43,18.39,26.43,26.42,26.66,26.99,26.05,24.77,5.0,4.00,20.00,31.30,24.00,2.90
2025-03-11 14:53:58,25.43,32.51,18.19,26.30,26.37,26.58,26.91,26.18,24.78,5.0,4.00,20.00,31.33,24.00,2.90
2025-03-11 14:54:00,25.43,32.54,18.00,26.16,26.31,26.50,26.83,25.84,24.79,5.0,4.00,20.00,31.26,24.00,2.90
2025-03-11 14:54:02,25.43,32.60,17.81,26.03,26.29,26.43,26.77,26.11,24.80,5.0,4.00,20.00,31.23,24.00,2.90
2025-03-11 14:54:04,25.43,32.66,17.62,25.89,26.23,26.35,26.68,25.92,24.79,5.0,4.00,20.00,31.23,24.00,3.10
2025-03-11 14:54:05,25.43,32.69,17.43,25.75,26.18,26.25,26.60,25.82,24.79,5.0,4.00,20.00,31.21,24.10,3.49
2025-03-11 14:54:07,25.43,32.72,17.25,25.60,26.13,26.16,26.50,25.67,24.78,5.0,4.00,20.00,31.29,24.00,3.60
2025-03-11 14:54:09,25.43,32.77,17.08,25.46,26.09,26.09,26.43,25.45,24.79,5.0,4.00,20.00,31.21,24.00,3.60
2025-03-11 14:54:11,25.43,32.82,16.90,25.32,26.04,26.00,26.34,25.59,24.79,5.0,4.00,20.00,31.18,24.00,3.51
2025-03-11 14:54:13,25.43,32.86,16.72,25.17,25.98,25.91,26.26,25.74,24.79,5.0,4.00,20.00,31.21,24.09,3.41
2025-03-11 14:54:15,25.43,32.91,16.56,25.04,25.94,25.82,26.17,25.87,24.80,5.0,4.00,20.00,31.15,24.10,3.31
2025-03-11 14:54:17,25.43,32.92,16.39,24.90,25.88,25.74,26.08,25.91,24.80,5.0,4.00,20.00,31.22,24.01,3.21
2025-03-11 14:54:19,25.43,32.95,16.23,24.74,25.83,25.65,25.98,25.83,24.80,5.0,4.00,20.00,31.14,24.09,3.20
2025-03-11 14:54:21,25.43,32.95,16.06,24.59,25.78,25.55,25.89,26.01,24.80,5.0,4.00,20.00,31.11,24.10,3.20
2025-03-11 14:54:23,25.43,32.97,15.90,24.44,25.71,25.44,25.80,25.92,24.81,5.0,4.00,20.00,31.10,24.10,3.20
2025-03-11 14:54:25,25.43,33.00,15.72,24.29,25.63,25.33,25.70,25.55,24.80,5.0,4.00,20.00,31.08,24.10,3.12
2025-03-11 14:54:26,25.44,33.01,15.56,24.14,25.57,25.24,25.60,25.74,24.80,5.0,4.00,20.00,31.13,24.10,3.10
2025-03-11 14:54:28,25.44,33.02,15.41,23.99,25.52,25.14,25.49,25.67,24.81,5.0,4.00,20.00,31.09,24.10,3.10
2025-03-11 14:54:30,25.44,33.00,15.26,23.85,25.47,25.04,25.40,26.00,24.82,5.0,4.00,20.00,31.05,24.10,3.04
